Tidal Range at Secondary Port (m),MTL_Secondary (m),Tidal Range at Established Gauge/Port (m),MTL_Established (m),New Gauge Sounding Datum (m)
0.8,0.85,0.575,0.5375,0.11
0.6625000000000001,0.84375,0.38750000000000007,0.5062500000000001,-0.03
0.6375,0.8312499999999999,0.3875000000000001,0.50625,-0.01
0.825,0.8624999999999999,0.5249999999999999,0.5125,0.05
1.1249999999999998,0.8624999999999999,0.825,0.5125,0.16
1.3125,0.84375,1.0875000000000001,0.5312500000000001,0.21
1.4,0.8499999999999999,1.1,0.5,0.21
1.1124999999999998,0.84375,0.8875000000000001,0.53125,0.18
0.85,0.825,0.6375,0.50625,0.15
0.7124999999999999,0.84375,0.4624999999999999,0.51875,0.04
0.8125,0.84375,0.5624999999999999,0.51875,0.09
0.9750000000000001,0.8375000000000001,0.7625000000000001,0.51875,0.17
1.0999999999999999,0.85,0.8375,0.48125,0.21
1.1124999999999998,0.8187499999999999,0.8875,0.50625,0.18
1.0125,0.81875,0.7375,0.48125000000000007,0.14
