Time_H,HW,Time_L,LW
8:14,1.2,2:31,0.6
21:24,1.3,14:38,0.3
8:57,1.2,3:17,0.6
22:04,1.3,15:16,0.3
9:47,1.1,4:11,0.6
22:49,1.3,15:58,0.4
10:49,1,5:13,0.6
23:39,1.3,16:48,0.5
12:04,1,6:21,0.5
0:33,1.3,17:49,0.5
13:25,1,7:28,0.5
1:30,1.3,18:59,0.6
14:36,1.1,8:25,0.4
2:26,1.4,20:07,0.6
15:35,1.2,9:16,0.3
3:19,1.4,21:08,0.5
16:26,1.3,10:02,0.2
4:09,1.5,22:03,0.5
17:13,1.4,10:45,0.1
4:57,1.5,22:53,0.4
17:58,1.5,11:27,0
5:44,1.5,23:42,0.4
18:43,1.5,12:10,0
6:31,1.5,0:30,0.3
19:27,1.6,12:52,0
7:18,1.5,1:18,0.3
20:13,1.6,13:35,0
8:06,1.4,2:08,0.3
21:00,1.5,14:19,0.1
8:58,1.3,3:00,0.4
21:49,1.5,15:04,0.2
9:54,1.2,3:58,0.4
22:42,1.4,15:54,0.3
11:01,1.1,5:03,0.4
23:41,1.4,16:50,0.4
12:20,1.1,6:18,0.5
0:45,1.3,17:58,0.5
13:49,1.1,7:34,0.4
1:51,1.3,19:17,0.6
15:08,1.1,8:41,0.4
2:51,1.3,20:33,0.6
16:08,1.2,9:35,0.3
3:44,1.3,21:35,0.6
16:55,1.3,10:18,0.2
4:28,1.3,22:25,0.6
17:34,1.3,10:56,0.2
5:06,1.4,23:07,0.5
18:08,1.4,11:30,0.1
5:41,1.4,23:44,0.5
18:39,1.4,12:02,0.1
6:14,1.4,0:19,0.5
19:09,1.4,12:33,0.1
6:46,1.4,0:53,0.4
19:38,1.4,13:04,0.1
7:18,1.3,1:27,0.4
20:06,1.4,13:34,0.2
7:51,1.3,2:01,0.4
20:36,1.4,14:04,0.2
8:27,1.2,2:37,0.4
21:08,1.4,14:34,0.3
